item,item.2024,include,rename_to
animal,animal,1,
apple,apple,1,
baba,,0,
baby,baby,1,
ball,ball,1,
balloon,balloon,1,
banana,banana,1,
bath,,1,
bathtub,,1,
bear,bear,1,
bed,bed,1,
belt,belt,1,
bib,bib,1,
bicycle,bicycle,1,bike
bike,bike,1,
bird,bird,1,
birdie,birdie,1,bird
birdy,birdy,1,bird
black,black,0,
blanket,,1,
block,,1,
blocks,blocks,1,
blue,blue,0,
blueberries,,1,
boat,boat,1,
book,book,1,
boot,boot,1,
bottle,bottle,1,
bowl,bowl,1,
box,box,1,
boy,boy,1,
broom,,1,
brown,brown,0,
brush,brush,1,
bucket,bucket,1,
bunny,,1,
bus,bus,1,
butterfly,butterfly,1,
cake,cake,1,
can,can,1,
candy,candy,1,
car,car,1,
carrot,carrot,1,
carrots,carrots,1,carrot
cat,cat,1,
caterpillar,,1,
chair,chair,1,
chalk,chalk,1,
chicken,chicken,1,
chocolate,chocolate,1,
clock,clock,1,
clown,clown,1,
coat,coat,1,
comb,comb,1,
cookie,cookie,1,
cow,cow,1,
crib,crib,1,
cup,cup,1,
diaper,,1,
diapey,,1,diaper
dish,dish,1,
dog,dog,1,dog
doggie,doggie,1,dog
doggy,doggy,1,
doll,,1,
dolly,,1,doll
donut,donut,1,
door,door,1,
dress,dress,1,
drink,drink,0,
drum,,1,
duck,duck,1,
ducky,,1,duck
ear,ear,1,
elephant,elephant,1,
fan,,1,
fish,fish,1,
flag,flag,1,
flower,flower,1,
food,food,1,
foot,foot,1,
frog,frog,1,
garbage,,1,
gate,,1,
giraffe,giraffe,1,
glasses,glasses,1,
glove,glove,1,
goose,goose,1,
grapes,grapes,1,
green,green,0,
guitar,,1,
hammer,hammer,1,
hand,hand,1,
hat,hat,1,
headphones,,1,
highchair,,1,
horse,horse,1,
hose,hose,1,
jeans,jeans,1,
juice,juice,1,
kangaroo,,1,
keys,keys,1,
kitty,kitty,1,cat
kittycat,,1,cat
knife,knife,1,
ladder,ladder,1,
lamb,lamb,1,
lamp,lamp,1,
light,light,1,
lion,lion,1,
lollipop,lollipop,1,
maraca,,1,
milk,milk,1,
monkey,monkey,1,
mouse,mouse,1,
mouth,mouth,1,
muffin,muffin,1,
necklace,necklace,1,
orange,orange,0,
owl,,1,
paci,,1,pacifier
pacifier,,1,
pajamas,pajamas,1,
pan,pan,1,
pants,pants,1,
peas,peas,1,
phone,,1,
piano,,1,
pig,pig,1,
pizza,pizza,1,
plate,plate,1,
pony,pony,0,
pudding,pudding,1,
puppy,puppy,1,
purse,purse,1,
puzzle,puzzle,1,
rabbit,rabbit,1,
red,red,0,
remote,,1,
rooster,rooster,1,
sandbox,scissors,1,
scissors,,1,
sheep,sheep,1,
shirt,shirt,1,
shoe,shoe,1,
shoes,,1,shoe
shorts,shorts,1,
shovel,shovel,1,
sink,sink,1,
sippy,,1,sippycup
sippycup,,1,
slide,slide,1,
slipper,slipper,1,
sock,sock,1,
socks,,1,sock
spoon,spoon,1,
strawberry,strawberry,1,
stroller,,1,
sunglasses,,1,
table,table,1,
tablet,,1,
tambourine,,1,
tape,tape,1,
teddy,,1,bear
teddy bear,teddy bear,1,bear
teddybear,,1,bear
television,television,1,
tiger,,1,
toothbrush,toothbrush,1,
toy,toy,1,
tractor,train,1,
train,,1,
tree,tree,1,
truck,truck,1,
vacuum,,1,
wagon,,1,
water,,1,
waterbottle,,1,
whale,,1,
white,white,0,
window,window,1,
wubby,,0,
yellow,yellow,0,
zebra,zebra,1,
zipper,zipper,1,
