item,include,rename_to
airplane,1,
animal,1,
apple,1,
baba,0,
baby,1,
ball,1,
balloon,1,
banana,1,
bath,1,
bathtub,1,
bear,1,
bed,1,
belt,1,
bib,1,
bicycle,1,bike
bike,1,
bird,1,
birdie,1,bird
birdy,1,bird
blanket,1,
block,1,
blocks,1,block
blueberries,1,
boat,1,
book,1,
boot,1,
bottle,1,
bowl,1,
box,1,
boy,1,
broom,1,
brush,1,
bucket,1,
bunny,1,
bus,1,
butterfly,1,
cake,1,
can,1,
candy,1,
car,1,
carrot,1,
cat,1,
caterpillar,1,
chair,1,
chalk,1,
chicken,1,
chocolate,1,
clock,1,
clown,1,
coat,1,
comb,1,
cookie,1,
corn,1,
cow,1,
cowie,1,cow
crayon,1,
crib,1,
cup,1,
diaper,1,
diapey,1,diaper
dish,1,
dog,1,
doggie,1,dog
doggy,1,dog
doll,1,
dolly,1,doll
donut,1,
door,1,
dress,1,
drink,0,
drum,1,
duck,1,
ducky,1,duck
ear,1,
elephant,1,
eyes,1,
fan,1,
fish,1,
fishy,1,fish
flag,1,
flower,1,
food,1,
foot,1,
frog,1,
froggy,1,frog
garbage,1,
gate,1,
giraffe,1,
glasses,1,
glove,1,
goose,1,
grapes,1,
guitar,1,
hair,1,
hammer,1,
hand,1,
hat,1,
headphones,1,
highchair,1,
horse,1,
horsie,1,horse
hose,1,
jeans,1,
juice,1,
kangaroo,1,
keys,1,
kitty,1,cat
kittycat,1,cat
knife,1,
ladder,1,
lamb,1,
lamp,1,
leg,1,
light,1,
lion,1,
lollipop,1,
maraca,1,
milk,1,
monkey,1,
mouse,1,
mouth,1,
muffin,1,
necklace,1,
nose,1,
orange,1,
owl,1,
paci,1,pacifier
pacifier,1,
pajamas,1,
pan,1,
pants,1,
peas,1,
pencil,1,
phone,1,
piano,1,
pig,1,
pizza,1,
plate,1,
pony,1,
pudding,1,
puppy,1,dog
purse,1,
puzzle,1,
rabbit,1,
remote,1,
rooster,1,
sandbox,1,
scissors,1,
sheep,1,
shirt,1,
shoe,1,
shoes,1,shoe
shorts,1,
shovel,1,
sink,1,
sippy,1,sippycup
sippycup,1,
slide,1,
slipper,1,
sock,1,
socks,1,sock
spoon,1,
strawberry,1,
stroller,1,
sunglasses,1,
table,1,
tablet,1,
tambourine,1,
tape,1,
teddy,1,bear
teddy bear,1,bear
teddybear,1,bear
teeth,1,
tiger,1,
tooth,1,
toothbrush,1,
toy,1,
tractor,1,
train,1,
tree,1,
truck,1,
vacuum,1,
wagon,1,
water,1,
waterbottle,1,
whale,1,
window,1,
wubby,0,
yogurt,1,
zebra,1,
zipper,1,
